sources,sinks,Time-create-MCMF,Time-create-simplex,Time-run-MCMF,Time-run-simplex,,
400,1600,1.319564581,1.304731369,207.2640913,10.77233028,,
400,1800,1.413905382,1.463991642,226.3997886,13.48158765,,
400,2000,1.591131687,1.608402729,261.1309004,14.84341955,,
500,100,0.095963955,0.101201534,7.026415825,0.769530535,,
500,200,0.238914967,0.166221619,17.0170505,1.567868948,,
500,300,0.256937742,0.259737253,27.86735106,2.172213793,,
500,400,0.34579134,0.47184515,39.23188639,2.911666155,,
500,500,0.432747364,0.438071251,68.60150337,3.200205088,,
500,600,0.507616758,0.530180454,58.74109554,4.482060432,,
500,700,0.607777834,0.618450642,74.33085942,5.487720251,,
500,800,0.712678194,0.748639822,89.18644714,6.328942537,,
500,900,0.962768078,0.8118577,103.6824193,7.033650637,,
500,1000,0.876026392,0.88865304,124.918097,7.654714346,,
500,1200,1.061210394,1.07260108,154.7628562,9.269521713,,
500,1400,1.23613143,1.261797428,194.6113024,11.19270372,,
500,1600,1.414849997,1.451322317,236.439008,13.3298564,,
500,1800,1.608115673,1.658743143,279.2008011,15.96270466,,
500,2000,1.775243521,1.786077261,355.4514937,14.79923487,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,50,15.76715016
,,,,,,100,39.86142325
,,,,,,200,100.050087
,,,,,,300,176.210937
,,,,,,400,261.1309004
,,,,,,500,355.4514937
